ID,table,diagnosis Year,Age Specific Incidence Age0_49,age Specific Incidence  Age 0-54,ageSpecificIncidenceAge 55-59,age SpecificIncidence Age60-64,ageSpecificIncidenceAge65_69,age Spes IncidenceAge70-74,Age_Specific_IncidenceAge75_79,Age80_84,Age85_89,Age 90
205,advanced-phase,2019,0.30360129,2.9116178,4.6355715,5.5015144,7.6375089,7.4723802,7.5679135,8.850462,7.9055948,9.8593969
206,,2020,0.34624663,3.4359679,4.7456231,6.8249679,7.9313741,7.8296571,8.3718119,8.3479204,9.5491304,9.0199537
207,advanced-phase,2021,0.40472537,3.8166876,5.0612726,6.7837524,8.4005136,9.7601051,10.369833,10.531207,11.619637,11.74078
208,advanced-phase,2022,0,0,0,0,0,0,0,0,0,0
209,advanced-phase,2023,0,0,0,0,0,0,0,0,0,0
210,,,,,,,,,,,,
211,Male/ILS1,All Years,,,,,,,,,,
212,Male/ILS1,2016,1.5560311,13.11529,17.254038,25.309324,28.352079,32.094406,24.624477,30.099449,17.845591,9.8338089
213,Male/ILS1,2017,1.599889,20.464104,25.897564,27.099947,41.012554,33.741859,18.962503,20.214512,21.89094,14.222054
214,Male/ILS1,2018,1.4673882,15.404057,20.452904,31.045656,28.966183,26.815228,31.999212,21.028038,13.016878,14.004294
215,Male/ILS1,2019,1.5162431,10.517609,23.954481,21.152988,34.739841,40.549335,33.919933,27.396009,19.264936,17.984802
216,Male/ILS1,2020,1.3117778,13.376822,16.752256,24.95706,29.128113,28.242678,24.801191,23.042803,19.297983,31.498898
217,Male/ILS1,2021,1.4086263,17.179855,19.633665,39.114784,32.926479,39.810184,36.249104,23.047081,29.30442,10.546854
218,Male/ILS1,2022,0.97913462,11.384303,18.540504,26.195932,28.18111,24.601591,23.215584,28.385632,20.811113,15.134699
219,Male/ILS1,2023,1.3656352,11.66891,20.633785,23.401699,28.628429,31.162016,27.708921,16.773329,28.61528,25.224499
220,,,,,,,,,,,,
221,Male/ILS2,All Years,,,,,,,,,,
222,Male/ILS2,2016,1.2573539,14.649272,20.44173,23.444477,27.766472,27.428711,17.103256,22.867369,23.097561,35.168613
223,Male/ILS2,2017,1.3299253,10.999506,17.648438,20.382685,21.360252,24.203045,18.31241,19.458092,19.099213,18.875759
224,Male/ILS2,2018,1.4525009,15.203041,13.890572,22.072069,21.270618,26.265413,30.498518,16.136841,18.984829,14.768322
225,Male/ILS2,2019,1.1205201,9.0703192,14.669547,20.484404,24.150797,20.842651,32.145451,18.484972,20.230288,24.707916
226,Male/ILS2,2020,1.422197,12.307429,16.27586,19.846342,26.997187,24.342331,19.443905,22.146555,16.724365,31.281498
227,Male/ILS2,2021,1.3119392,11.323685,14.887766,21.547365,29.804556,27.862309,36.133919,23.025116,23.503462,37.159527
228,Male/ILS2,2022,1.109471,8.9999428,15.044423,18.324085,23.134298,19.984921,34.250877,19.998095,17.673466,21.768312
229,Male/ILS2,2023,1.2988929,8.7272167,10.308216,18.324085,17.949024,23.164339,21.692221,20.950386,30.044891,25.396364
230,,,,,,,,,,,,
231,Male/ILS3,All Years,,,,,,,,,,
232,Male/ILS3,2016,1.0133096,7.6787028,15.693979,16.366503,21.206318,23.855061,23.375542,20.29847,20.451391,32.046146
233,Male/ILS3,2017,1.2658666,10.126505,12.692324,15.729866,18.218624,20.678635,20.227787,24.545511,15.555839,18.50481
234,Male/ILS3,2018,1.26239,9.8816233,12.665198,19.254961,18.669746,17.97546,13.06158,19.096361,29.249132,23.965012
235,Male/ILS3,2019,1.1218368,11.955515,10.451056,17.222105,23.481913,17.964262,19.694937,35.577694,19.019413,17.04497
236,Male/ILS3,2020,0.92307359,8.7359133,13.583159,16.213009,18.250353,24.428888,20.971479,16.850433,24.144869,19.582611
237,Male/ILS3,2021,1.015866,9.1884012,12.868796,13.870671,23.571344,24.630102,25.644251,24.63661,21.008678,20.055582
238,Male/ILS3,2022,1.1557888,6.919476,12.218265,18.149351,21.394426,26.280617,17.698566,22.110035,30.618103,19.447685
239,Male/ILS3,2023,0.97797513,10.645348,10.658486,13.172916,18.237871,22.150806,21.238279,19.162029,30.618103,13.891204
240,,,,,,,,,,,,
241,Male/ILS4,All Years,,,,,,,,,,
242,Male/ILS4,2016,1.1569475,8.4876928,9.0106068,17.015102,12.585024,18.089588,22.075287,24.420385,12.089462,32.614819
243,Male/ILS4,2017,1.3423314,6.4399476,7.9563007,14.531302,16.862226,16.427273,17.080126,24.453747,19.456514,25.616213
244,Male/ILS4,2018,1.1899713,5.702682,14.978268,14.595185,16.043482,19.959427,14.978805,22.968985,25.132259,33.032372
245,Male/ILS4,2019,0.61083251,7.9762306,9.3901615,13.698546,21.977364,20.920906,23.645134,24.879301,21.85527,18.198835
246,Male/ILS4,2020,0.73199183,6.0557737,10.956531,12.463796,20.469799,17.900867,22.620544,23.247782,14.286055,12.688101
247,Male/ILS4,2021,0.80454332,6.4798903,9.7416916,17.851446,15.294678,22.886063,21.711849,20.711956,37.07782,40.537117
